run_id,model_label,failure_scope,failure_type,event_count,affected_tasks,affected_task_rate
2026-04-20_193003UTC,DeepSeek R1 7B,ltl_formula,ltl_contradiction,1,1,0.0020161290322580645
2026-04-20_193003UTC,DeepSeek R1 7B,ltl_formula,ltl_hallucinated_node,20,20,0.04032258064516129
2026-04-20_193003UTC,DeepSeek R1 7B,ltl_formula,ltl_temporal_inconsistency,1,1,0.0020161290322580645
2026-04-20_193003UTC,DeepSeek R1 7B,parse,invalid_edge_support,13,13,0.02620967741935484
2026-04-20_193003UTC,DeepSeek R1 7B,parse,invalid_json,39,39,0.07862903225806452
2026-04-20_193003UTC,DeepSeek R1 7B,parse,schema_violation,1,1,0.0020161290322580645
2026-04-20_193003UTC,DeepSeek R1 7B,transport,transport_timeout,10,10,0.020161290322580645
2026-04-20_193003UTC,DeepSeek R1 7B,verification,hallucinated_node,20,20,0.04032258064516129
2026-04-20_193003UTC,DeepSeek R1 7B,verification,unsupported_reasoning_reference,20,20,0.04032258064516129
2026-04-20_193003UTC,DeepSeek R1 7B,verification,unsupported_reasoning_step,25,25,0.05040322580645161
2026-04-20_205047UTC,Qwen 3.5 9B,parse,invalid_json,3,3,0.006048387096774193
2026-04-20_205047UTC,Qwen 3.5 9B,parse,schema_violation,5,5,0.010080645161290322
2026-04-20_205047UTC,Qwen 3.5 9B,transport,transport_timeout,94,94,0.18951612903225806
2026-04-21_074248UTC,Llama 3.1 8B,ltl_formula,ltl_hallucinated_node,3,3,0.006048387096774193
2026-04-21_074248UTC,Llama 3.1 8B,verification,hallucinated_node,3,3,0.006048387096774193
2026-04-21_074248UTC,Llama 3.1 8B,verification,unsupported_reasoning_reference,3,3,0.006048387096774193
2026-04-21_080222UTC,Mistral 7B,ltl_formula,ltl_contradiction,2,2,0.004032258064516129
2026-04-21_080222UTC,Mistral 7B,ltl_formula,ltl_hallucinated_node,19,19,0.038306451612903226
2026-04-21_080222UTC,Mistral 7B,ltl_formula,ltl_temporal_inconsistency,2,2,0.004032258064516129
2026-04-21_080222UTC,Mistral 7B,parse,invalid_json,1,1,0.0020161290322580645
2026-04-21_080222UTC,Mistral 7B,verification,hallucinated_node,20,20,0.04032258064516129
2026-04-21_080222UTC,Mistral 7B,verification,unsupported_reasoning_reference,15,15,0.03024193548387097
2026-04-21_080222UTC,Mistral 7B,verification,unsupported_reasoning_step,4,4,0.008064516129032258
