task_id,category,gold_label,predicted_label,label_correct,verifier_valid,trace_grounded,direct_f1,closure_f1,first_violation_step,num_violations,num_formula_violations,question,gold_relations,pred_edges,answer
te3_test_AP_20130322_l6,tempeval_relation,SIMULTANEOUS,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- sparking [ei4]
- started [ei3]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""sparking [ei4]"", ""started [ei3]"", ""SIMULTANEOUS""]]","[[""started [ei3]"", ""sparking [ei4]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l7,tempeval_relation,AFTER,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- turn [ei5]
- started [ei3]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""turn [ei5]"", ""started [ei3]"", ""AFTER""]]","[[""started"", ""turn"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l10,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- started [ei3]
- ended [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei3]"", ""ended [ei6]"", ""BEFORE""]]","[[""started"", ""ended"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l11,tempeval_relation,AFTER,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- according [ei7]
- ended [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""according [ei7]"", ""ended [ei6]"", ""AFTER""]]",[],UNKNOWN
te3_test_AP_20130322_l18,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.

Determine the temporal relation between the following event mentions.
- reported [ei8]
- said [ei9]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""reported [ei8]"", ""said [ei9]"", ""BEFORE""]]","[[""reported [ei8]"", ""said [ei9]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l19,tempeval_relation,SIMULTANEOUS,SIMULTANEOUS,1,1,1,1.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.

Determine the temporal relation between the following event mentions.
- said [ei10]
- said [ei9]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei10]"", ""said [ei9]"", ""SIMULTANEOUS""]]","[[""said [ei10]"", ""said [ei9]"", ""SIMULTANEOUS""]]",SIMULTANEOUS
te3_test_AP_20130322_l32,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- died [ei16]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""died [ei16]"", ""said [ei20]"", ""BEFORE""]]","[[""died"", ""said"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l33,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- vaccinated [ei17]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""vaccinated [ei17]"", ""said [ei20]"", ""BEFORE""]]","[[""vaccinated [ei17]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l35,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- vaccinated [ei19]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""vaccinated [ei19]"", ""said [ei20]"", ""BEFORE""]]","[[""vaccinated"", ""said"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l56,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.

Determine the temporal relation between the following event mentions.
- started [ei27]
- dropping [ei28]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei27]"", ""dropping [ei28]"", ""BEFORE""]]","[[""started"", ""dropping"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l61,tempeval_relation,SIMULTANEOUS,SIMULTANEOUS,1,1,1,1.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The flu season is winding down, and it has killed 105 children so far - about the average toll. The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention. Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday. Roughly 100 children die in an average flu season. One exception was the swine flu pandemic of 2009-2010, when 348 children died. The CDC recommends that all children ages 6 months and older be vaccinated against flu each season, though only about half get a flu shot or nasal spray. All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said. This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness.

Determine the temporal relation between the following event mentions.
- season [ei2002]
- season [ei1000028]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""season [ei2002]"", ""season [ei1000028]"", ""SIMULTANEOUS""]]","[[""season [ei2002]"", ""season [ei1000028]"", ""SIMULTANEOUS""]]",SIMULTANEOUS
te3_test_AP_20130322_l68,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness. The government only does a national flu death count for children. But it does track hospitalization rates for people 65 and older, and those statistics have been grim. In that group, 177 out of every 100,000 were hospitalized with flu-related illness in the past several months. That's more than 2 1/2 times higher than any other recent season. This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.

Determine the temporal relation between the following event mentions.
- season [ei2002]
- season [ei2003]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""season [ei2002]"", ""season [ei2003]"", ""SIMULTANEOUS""]]","[[""season [ei2002]"", ""season [ei2003]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l4,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- accused [ei1]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""accused [ei1]"", ""announced [ei5]"", ""BEFORE""]]","[[""accused [ei1]"", ""announced [ei5]"", ""BEFORE""]]",BEFORE
